present, family : natural
innate, virus : pneumonia
thought, adequate : response
secondary, offer : german
park, cause : raccoon
case, rash : measles
brain, disease : inflammation
day, stain : rash
campaigner, month : german
typically, globally : begin
vaccine, sufficiently : available
united, adequate : nation
measles, vitamin : pneumonia
viral, united : new
rash, globally : begin
appear, figure : fall
inherit, international : traveler
