association, different : critical
variable, goal : expiratory
best, plateau : hospital
episode, week : tightness
severity, allergen : frequency
month, airway : inflammation
zone, main : need
typical, exacerbation : occasionally
onset, medication : combination
plan, time : exercise
depression, hospital : consider
work, daily : clear
due, tobacco : smoke
recognize, visit : alone
sign, cough : chest
thicken, symptom : contagious
compare, evidence : review
different, prognosis : decade
similar, airway : chronic
method, measure : pollution
lead, symptom : cause
indication, episode : pollution
pulmonary, exposure : possible
result, hard : morn
wall, combination : steroid
add, south : reduction
relate, prefer : august
indoor, chloroform : subject
increase, moderate : hospital
negative, form : protein
severe, environment : combination
improve, plan : manage
effectiveness, lung : support
rate, stress : flow
response, bring : sputum
cataract, severe : moderate
lower, support : family
avoidance, similarly : key
suggest, number : control
incense, muscle : drink
viral, figure : airway
disorder, epidemiology : reference
cough, formulation : important
see, common : reason
course, lung : persistent
guide, found : consider
agonist, use : intravenous
common, hay : greater
induce, cure : supplementation
emergency, asthma : medication
mean, control : stable
medication, monitor : plastic
technique, clinical : therapeutic
airway, increase : risk
asthma, symptom : allergen
recommend, common : decrease
adult, adrenergic : admission
syndrome, night : congenital
recurrent, bout : tightness
appear, cause : symptom
inflammation, pose : diarrhea
report, growth : estimate
huge, roughly : introduce
week, rash : day
loss, typically : weakness
disease, immunity : vaccine
herd, initiate : low
scientifically, recognize : german
test, develop : allergen
different, immunity : critical
permanent, disallow : healthy
immunity, usually : infant
highly, case : spread
part, transmit : consciousness
publish, continue : susceptible
generation, measles : infectious
immunization, usually : loss
kill, world : number
estimate, ultimately : plague
result, acute : respiratory
size, case : vaccinate
treatment, sum : intravenous
come, hospitalization : healthy
severely, case : serious
vaccination, case : measles
decrease, emergency : review
world, factor : organization
adverse, dendritic : carry
aid, case : theoretically
diagnosis, fell : epidemiology
vaccination, significantly : rate
immunity, emergency : herd
boy, outbreak : embryo
cause, area : occur
age, virus : infection
stem, brazil : august
activation, specific : mean
known, day : typically
spread, found : mouth
death, initial : fever
risk, smallpox : review
survive, generally : led
brain, measles : virus
sufficient, develop : name
virus, antibody : travel
region, fully : epidemic
year, population : measles
virus, cause : infection
fatality, community : nation
subacute, remain : relatively
include, coverage : highest
further, stem : information
decrease, supplementation : vitamin
case, travel : report
vaccine, confirm : receive
vaccination, external : vaccine
combination, vaccination : effective
specimen, par : draw
usually, child : appear
level, successful : older
resident, involve : fall
test, state : confirm
involve, lack : inhalation
get, week : ready
human, immune : infect
rate, medicine : lower
subacute, classic : media
lead, characteristic : coagulation
german, expose : kingdom
level, declare : greater
high, occur : common
frequency, human : duration
condition, high : level
base, spread : cough
available, conjunctivitis : unresponsive
generate, deliver : program
symptom, childhood : rate
virus, vaccination : measles
hospitalize, vaccination : area
measles, child : population
micrograph, initial : progress
local, disease : thought
generally, live : personal
cure, protein : conclude
eastern, natural : middle
death, treatment : rate
organ, recognize : regardless
june, vaccination : county
itch, person : ear
infectious, vitamin : pneumonia
suppress, outbreak : woman
declare, measles : county
control, injury : period
occasional, treatment : endemic
dose, strain : previous
cause, decrease : increase
region, country : world
uncommon, contact : bitten
city, occur : typically
onset, year : recent
estimate, infection : death
seen, people : cold
adult, cause : asthma
begin, molecule : bind
case, society : stabilizer
further, bound : information
salt, smallpox : diagnostic
show, support : evidence
maculopapular, estimate : head
license, lead : culture
require, temporary : mouth
outbreak, back : rest
cause, import : surgery
case, year : measles
diarrhea, adequate : serious
declare, made : epidemic
cold, due : high
encephalitis, led : runny
population, virus : measles
maintain, cluster : wide
genotype, region : august
state, test : confirm
steven, epidemic : end
disease, salt : mouth
risk, develop : factor
scare, nearby : diarrhea
cover, evidence : beneficial
virus, vaccine : measles
transmit, measles : infect
increase, declare : number
declare, reduce : region
measles, make : year
serious, pain : aim
deficiency, individual : compromise
vaccination, croup : rang
resolve, center : stain
occur, area : vaccination
vaccination, fever : measles
cough, systematic : important
reduction, cause : death
rash, epidemiology : red
initiative, immature : nation
year, develop : people
confirm, red : rest
found, prove : sensitive
said, name : rubella
disease, test : recommend
rose, corneal : rubella
resistance, increase : mean
cluster, saliva : widely
capital, rose : congenital
cell, age : travel
maculopapular, case : rash
infection, german : face
outbreak, person : measles
orthodox, free : rest
medication, report : case
die, name : middle
receive, kindergartner : led
innate, spread : compromise
duration, lead : obstruct
death, choose : confusion
increase, end : risk
measles, result : case
line, prevent : traveler
congress, secondary : rest
bacterial, traveler : society
measles, disease : vaccine
exist, return : contagious
airway, growth : smooth
malnutrition, begin : content
aspirin, infect : nasal
continue, legal : coverage
rule, high : coverage
population, deliver : child
endemic, ear : rubella
individual, plague : estimate
diameter, begin : german
claim, vaccination : herd
seizure, treatment : name
sneeze, measles : rash
case, measles : outbreak
show, measles : vaccine
country, confirmation : month
rule, unknown : wide
make, case : stabilizer
resolve, people : north
measles, day : rash
german, prevention : usual
susceptible, identify : volume
complication, publish : serious
immunity, rarely : immune
philosophical, therefore : vaccinate
vaccine, case : measles
cause, back : death
campaigner, regard : psychosomatic
host, day : infect
ad, especially : frequently
rate, found : increase
measles, state : outbreak
net, sufficient : medicine
seizure, vaccination : rash
measles, vaccination : outbreak
virus, spread : infect
secretion, percent : personal
high, diameter : alter
syndrome, found : pregnancy
poor, healthy : august
measles, cause : death
measles, cold : rash
group, see : antibody
measles, area : vaccination
acclimate, confirm : book
dilate, outbreak : take
node, measles : continue
population, exist : public
lost, death : infant
eliminate, importation : identify
complication, background : formulation
medication, fever : include
summary, micrograph : die
roughly, sent : thought
exposure, find : administer
suspect, small : kill
pan, last : attenuate
deliver, importation : healthy
research, keep : southeast
reintroduce, measles : traveler
proclaim, seizure : rest
size, effective : critical
country, initiative : red
immunization, won : circulate
measles, remain : death
lymph, disappear : neck
case, measles : outbreak
country, county : report
bacterial, region : endotoxin
concern, further : cardiac
contact, early : direct
develop, measles : vaccine
site, case : vaccination
people, cause : death
culture, abdomen : society
trial, de : compare
act, fever : hay
severe, death : rate
previously, park : smallpox
herd, country : island
traveler, county : strain
wild, administration : officer
soap, bait : cat
case, effective : vaccination
virus, death : cause
retrograde, death : move
additional, rabies : possible
method, use : asthma
muscle, human : paralysis
disease, follow : fever
cell, infect : virus
victim, infect : get
sign, upstream : left
ability, guinea : transmit
travel, stray : piece
culture, later : identify
human, symptom : rabies
symptom, inflame : cough
risk, positive : evidence
highly, antarctica : live
body, recommend : receive
site, minute : water
modern, status : allow
disease, reference : prevention
central, helical : system
infection, body : start
therefore, rabid : hare
effective, see : little
injection, body : nervous
transmission, inflict : recipient
people, exposure : asthma
headache, help : hallucination
vaccine, genus : available
vaccination, identification : injection
cerebral, fluid : urine
canada, help : recognize
found, brain : sensitive
zombie, greatly : produce
republic, intoxicate : goal
inject, stage : runny
cause, inclusion : diagnosis
day, help : follow
turn, limit : term
vaccine, virus : measles
law, bite : puppy
known, arrest : respiratory
receive, taken : sensitive
rabies, hare : dog
diagnostic, prevention : sensitive
water, deltoid : period
brain, behavior : progress
improve, external : society
peripheral, common : week
rabies, unclear : protocol
infect, information : get
coil, deltoid : lymph
status, rabies : infection
negative, receive : positive
day, normally : rash
treatment, rabies : use
due, sometime : older
inexpensive, world : organization
involve, couple : lymphocyte
reduce, total : life
relatively, barrier : promote
membrane, nerve : bind
united, receive : vaccine
death, infection : cause
prophylaxis, shell : minute
season, usually : location
method, country : diagnose
technique, virus : allow
tissue, genetic : necrosis
animal, epizootic : wild
common, exposure : include
ready, infect : transmit
significantly, produce : primarily
vaccination, exposure : outbreak
matrix, disease : highly
regain, see : middle
person, furious : epidemiology
dog, peripheral : water
procedure, nervous : easily
dog, muscle : water
nervous, barrier : mammal
rabies, red : world
show, original : support
infection, rabies : virus
entry, genetic : endosome
bite, location : rodent
cause, gland : brain
campaign, gene : agree
animal, differential : prevention
death, refer : rate
reduce, swallow : water
little, health : confirm
fear, year : nearly
fear, infection : water
culture, virus : nerve
genome, rabies : system
bait, take : suggest
virus, exterior : cell
use, protocol : treatment
diagnosis, mile : encephalitis
brain, simplex : amount
water, common : animal
period, treatment : prevent
order, vaccination : family
rabies, protein : virus
test, protocol : diagnosis
transmission, water : fear
possible, symptom : exposure
health, help : annual
year, easily : old
previously, alway : neurological
administer, water : wash
scientist, patient : attenuate
asymptomatic, principal : return
rabies, day : virus
due, central : age
hospitalize, acquire : mite
law, agriculture : food
initial, culture : amount
cause, republic : death
require, drop : suggest
determine, swiss : exist
protocol, room : mentally
effect, phase : intravenous
vaccine, genus : available
cell, official : persistent
cause, neuron : brain
prevention, direct : external
day, receptor : begin
treatment, antibody : give
administer, region : wash
pathway, swiss : environment
cause, pet : exposure
vaccination, transmission : animal
gerbil, replicate : encounter
epidemiology, people : life
subsequent, infect : theoretically
dog, spread : animal
regimen, external : painful
administer, approximately : promptly
nature, loss : rage
possible, go : event
cell, human : virus
enter, well : peripheral
prove, cell : substance
severity, develop : common
dog, known : animal
population, tendency : publish
agitation, year : introduce
help, nation : follow
introduce, rabies : year
nervous, rabies : virus
swallow, effect : systematic
human, vary : period
cell, human : virus
take, differential : epidemiology
increase, western : number
small, vaccine : mouth
fluid, central : slightly
head, modern : place
information, bite : further
bud, medical : cell
global, raccoon : canada
protocol, inability : fear
soon, weight : wash
human, use : rabies
needle, reduce : decrease
recommend, extremely : decrease
season, intoxicate : rodent
delay, simplex : little
country, rabid : middle
kill, specificity : passive
coast, weight : limit
sensitivity, system : specimen
recommend, increase : decrease
protocol, treatment : effective
virus, history : cause
cause, exposure : symptom
use, month : recommend
coast, body : seizure
care, recover : intervention
prove, gland : specimen
unaware, treatment : little
reach, case : contract
person, wound : prophylaxis
touch, urine : casual
asymptomatic, include : county
bite, lateral : compromise
record, recommend : theoretically
injection, privately : allergic
sustain, use : systematic
information, rabies : prevention
vector, navigation : outer
spread, artificially : start
lingual, develop : ancient
fat, start : period
technique, bat : yellow
membrane, protocol : receptor
receive, virus : vaccine
injection, culture : expensive
case, work : outbreak
suspect, man : epidemic
prevalence, time : begun
rabid, rabies : dog
death, use : year
survival, encephalitis : care
increase, rabies : infection
travel, feed : central
site, well : reach
world, particularly : organization
fact, vaccine : previous
encode, symptom : highly
dose, common : control
additionally, material : secretion
harvest, involve : newly
release, infectious : environment
begun, case : little
deltoid, use : failure
symptom, protein : virus
site, rely : difficult
absence, widespread : fear
encounter, exceptionally : hallucination
peripheral, furious : motor
human, nucleoprotein : surface
light, common : younger
prevalent, wolve : native
new, risk : state
survive, contact : prophylaxis
follow, antibody : technique
day, victim : get
vaccine, molecule : available
typically, principal : part
fluid, world : sensitive
drop, inject : expensive
epizootic, folk : get
muscle, transmission : smooth
rare, rabies : human
cat, united : officer
procedure, mentally : formulation
eliminate, trimeric : resurgence
cause, refer : genetic
start, alway : confusion
supervision, west : observe
approximately, swiss : potential
inexpensive, risk : painful
salivation, infect : sleep
progressively, squirrel : nerve
supply, suggest : clear
inflammation, stroke : acute
tumor, retrieval : compression
obstruct, location : left
issue, main : coagulation
behaviour, supply : failure
blood, vein : thrombosis
chemotherapy, lead : substance
main, condition : oral
end, clinical : emerge
multitude, divide : intervention
clot, hour : blood
patient, grade : compression
vessel, link : reference
side, arterial : limb
venous, thrombotic : blockage
effort, life : mite
sinus, paradoxically : face
genetic, artery : expiratory
sinus, embolism : venous
thrombin, issue : coagulation
blood, heal : vessel
come, clot : injury
atrial, physiological : tumor
mi, therapy : twice
antagonist, example : amount
cause, inferior : example
situation, condition : agree
endothelial, increase : airway
injury, affect : blood
instance, arterial : organ
thrombotic, correlate : older
sinus, blood : venous
large, additional : local
thrombosis, area : risk
limb, tissue : arterial
score, thrombosis : renal
assess, wall : reduction
use, limb : side
kingdom, surgery : immobility
infarction, vision : break
need, flow : acute
attenuate, severe : clinical
coagulation, need : main
thrombosis, include : risk
acute, severe : exacerbation
damage, jugular : tumor
injury, location : right
impairment, vessel : occlusion
retrieval, arterial : situation
reduce, embolism : lead
directly, flow : upper
arterial, study : regardless
airplane, completely : long
higher, main : data
else, basal : necrosis
treatment, stasis : research
use, anticoagulant : effect
medical, arterial : surgery
danger, shunt : endothelial
coronary, factor : timely
heart, cause : failure
complication, venous : pulmonary
form, formation : clot
arterial, emerge : venous
competent, finally : safe
clote, leg : obstruct
numerous, heal : role
occurrence, typically : amount
information, due : cardiac
downstream, article : arterial
affect, migrate : organ
artery, thrombosis : arterial
modifiable, blood : coagulation
onset, anticoagulant : duration
insertion, site : heparin
circulatory, tissue : obstruct
growth, artery : slow
necrosis, failure : vasoconstriction
large, stroke : thrombus
example, substance : stagnant
blood, particle : vessel
vein, venous : thrombosis
expression, arterial : coagulation
surgery, venous : damage
infarction, acute : vasoconstriction
area, citation : class
factor, blood : flow
arterial, use : thrombosis
consequence, left : occlusion
sinus, severe : nasal
thrombosis, atrial : vein
blood, cause : lead
injury, stroke : vasoconstriction
abnormality, need : treat
occlusive, enter : occlusion
thrombosis, form : venous
heart, committee : vasoconstriction
spread, prevent : infection
hinder, chief : stray
circulatory, blood : formation
key, lead : activity
patient, travel : central
venous, lung : pulmonary
thrombus, thickness : blood
thrombus, treatment : form
form, style : disorder
ratio, stasis : monitor
prolong, clot : deep
citation, see : epidemiology
citation, facial : article
disease, blood : affect
occur, embolism : arterial
symptom, thrombosis : cause
weight, arise : else
hospital, affect : contrast
upper, compression : failure
supply, somewhere : place
thrombosis, brain : complication
situation, pregnancy : account
citation, thrombosis : main
occur, visual : greater
cause, artery : heart
surgery, recent : obesity
cell, recently : activation
navigation, arterial : left
area, include : occur
indicate, portal : historic
fibrillation, inferior : tumor
cause, thrombosis : vein
occasionally, atheroma : admit
arterial, alternatively : embolism
lead, monitor : obstruct
condition, flow : blood
death, factor : rate
blood, target : injury
severe, mechanical : ventilation
sinus, metabolism : nasal
sinus, thrombosis : venous
lodge, travel : embolus
follow, pain : fever
long, stroke : right
blindness, heart : failure
blood, blockage : venous
stroke, evidence : acute
grade, lumen : occasionally
arterial, extend : embolism
clot, life : formation
thrombin, risk : coagulation
effect, home : useful
vigorous, remote : younger
use, thrombosis : risk
breakdown, alter : enzyme
thrombosis, mural : vessel
hip, outcome : trial
massive, arterial : pulmonary
link, aneurysmal : compound
heal, factor : mechanism
rich, need : addition
artery, severe : flow
occur, site : fever
natural, cell : activation
preventative, skull : plague
obstruction, occur : cough
obstruct, therapeutic : oxygen
metabolism, therapy : oral
relate, protective : august
monitor, tissue : vasoconstriction
stratify, arterial : pulmonary
lead, respiratory : acute
plaster, disease : period
spread, example : vision
sign, citation : epidemiology
necrosis, tissue : damage
vary, damage : uncontrol
swell, systemic : occlusion
disease, vital : prevention
somewhere, anticipation : else
blockage, sedentary : onset
known, completely : sustain
fissure, increase : throat
citation, infarction : thrombosis
thrombosis, defect : vein
blood, disease : affect
lead, increase : risk
need, vein : article
fall, recurrence : mechanism
vitamin, organ : aid
embolism, higher : pulmonary
clot, tissue : blood
heal, rate : occlude
administer, arterial : regardless
thrombus, contribute : infarction
thrombosis, venous : arterial
list, condition : alone
timeliness, vein : atrial
blood, tumor : coagulation
drug, citation : intravenous
vary, travel : reach
bleed, transplantation : monitor
hinder, directly : upper
tissue, layer : activity
contraindicate, require : mechanical
embolus, sinus : lodge
cast, period : long
formal, complication : admit
style, distribute : vital
thrombosis, main : article
navigation, timely : contribute
body, depend : reach
classic, double : facial
vein, medical : compression
thrombosis, solid : vein
cellular, classic : define
somewhere, study : else
activity, diagnose : activation
suggest, generally : class
massive, thrombosis : pulmonary
infection, study : found
triad, case : fall
embolism, come : natural
use, fatal : rabies
therapy, nasal : important
rate, axillary : extremity
injury, cord : triad
taken, potential : beta
vein, blockage : hepatic
risk, heparin : bleed
lumen, infection : wound
illness, embolism : compression
location, quality : longer
flow, circle : vessel
reduce, injure : risk
blood, pulmonary : arterial
need, blood : thrombosis
hour, give : description
injury, disease : period
surgery, person : immobility
article, white : sinus
obstruction, test : reversible
mechanism, antiplatelet : bibliography
use, pancreatitis : reduction
mortality, ischemic : patient
limb, acute : surgery
coagulation, commonly : treat
liver, endothelium : enlarge
widely, occasionally : admit
study, completely : thrombin
drug, affect : make
measure, histologically : administration
exposure, mouth : day
increase, die : primarily
map, onset : dark
moderate, measles : severe
irreversible, state : august
decrease, food : smoke
chest, serious : conclude
test, color : technique
predict, transplant : best
primary, get : contribute
decrease, history : age
trigger, generally : medication
expiratory, become : variable
combine, eye : variant
physiotherapeutic, fully : yellow
hair, well : perfume
older, suggest : formulation
stenosis, day : produce
attack, therefore : oxygen
result, rate : death
use, research : treatment
young, get : suspect
account, ease : herd
membrane, region : endosome
mouth, case : addition
certain, mutation : situation
symptom, outbreak : exposure
stabilizer, initial : amount
polyp, childhood : loss
high, vaccination : area
lung, precede : yellow
even, new : introduce
distinguishable, spread : recurrent
sinus, rehydration : skull
currently, outbreak : confirm
recommend, face : rubella
number, adequate : herd
thicken, united : grade
gland, become : consciousness
risk, suggest : reduce
wide, genotype : act
eliminate, seen : head
increase, virus : cause
spray, death : food
agonist, year : benefit
effectiveness, health : organization
environmental, vaccination : decrease
psychological, video : step
factor, name : relate
cough, chick : shortness
asthma, population : disease
remain, age : malnutrition
theophylline, serious : steroid
difficulty, refer : panic
pollution, exposure : smoke
good, higher : decade
response, country : diagnose
factor, michigan : state
health, symptom : people
home, led : thrombin
disorder, compare : frequently
seem, determine : observe
use, fever : asthma
dose, population : vaccine
problem, effective : frequently
associate, generally : risk
density, known : steroid
prevent, measles : vaccine
chest, health : confirm
asthma, report : people
pollution, vaccination : decrease
combine, eye : variant
white, population : recent
environmental, ready : genetic
case, disease : measles
life, correlation : function
different, measles : red
include, region : number
asthma, net : air
bronchiole, die : genotype
symptom, respond : allergen
magnesium, free : avoid
trigger, decrease : smoke
uncontrol, receptor : agonist
medication, official : embryo
episode, vitamin : deficiency
early, generation : bacteria
pollution, measles : cough
worsen, recommend : prevent
various, further : pant
example, vaccination : variant
include, globally : fever
trigger, infect : cough
function, human : year
chemical, case : quality
people, correlation : lung
feather, rate : hygiene
level, cause : due
exacerbation, background : sudden
effect, infectious : mouth
illness, sclerose : media
disease, saliva : infection
develop, herd : adequate
taken, end : stagnant
search, loss : weakness
depression, include : therapy
dysfunction, measles : population
exercise, age : therapy
blood, scare : rarely
canada, tissue : immobility
mild, decrease : improvement
early, country : world
usually, boy : amount
oral, occur : fever
number, population : outbreak
asthma, united : rate
people, regardless : contact
continue, maintain : association
hair, diagnostic : dust
disorder, infect : deficiency
psychoanalyst, measles : suppress
health, dose : recommend
organic, day : fever
frequency, adult : steroid
treatment, vaccination : effective
medicine, month : coverage
flow, otitis : expiratory
breath, zinc : white
oxygen, symptom : sign
death, die : year
childhood, prompt : international
problem, lead : obstructive
youth, day : pant
allergen, dose : avoid
tract, county : inflammatory
induce, day : coma
society, determine : endotoxin
respiratory, common : asthma
improve, rest : benefit
include, old : common
antibody, describe : triad
evidence, recommend : support
clear, require : agonist
day, specimen : spot
commonly, sclerose : nose
trigger, person : cough
common, cause : symptom
year, envelope : well
increase, unable : add
environmental, bacterial : genetic
timber, society : quality
age, immune : infant
evidence, contact : direct
oxygen, specimen : add
narrow, fatality : description
increase, secondary : bacterial
usually, result : include
improve, antiviral : benefit
asthma, responsible : effect
day, high : rash
prevention, vaccine : disease
respiratory, disease : risk
difference, personal : compare
histamine, old : key
study, high : even
frequent, body : grey
positive, united : adult
partly, cause : relate
asthma, license : support
bronchodilator, complication : formulation
muscle, fever : paralysis
drug, overwhelm : agonist
evidence, unvaccinated : add
source, immunity : course
function, share : perform
decrease, semen : fluid
lung, examine : yellow
people, slightly : control
moderate, measles : severe
case, disease : measles
exacerbation, immunization : available
mold, disease : dust
quality, prevent : control
affect, pain : primarily
lead, treatment : risk
chronic, increase : airway
promise, exposure : tobacco
bacteria, child : older
timber, nation : food
formulation, indicate : systematic
dose, brazil : highest
implicate, rate : different
diffuse, initial : act
response, old : young
manual, mortality : map
asthma, prevention : symptom
associate, outcome : review
important, drug : conclude
old, complication : rest
illness, brown : immobility
attack, terror : amount
common, squirrel : rarely
immune, rabies : virus
known, abroad : contagious
abnormally, genus : differentiate
agree, owner : later
population, rabies : vaccine
infection, rabbit : infect
distinguishable, world : early
timber, remove : chemical
potential, disease : time
outcome, rabies : control
play, vaccination : initiative
serious, virus : encephalitis
psychological, rabies : sleep
thrush, last : density
muscle, vaccine : give
term, throat : pant
treatment, human : rabies
canister, myelitis : treat
especially, effective : sleep
smell, method : reaction
air, health : smoke
inhalant, multiple : concentration
organic, able : association
well, cost : contribute
predict, rely : single
high, irrational : vector
asthma, feed : associate
due, central : age
pressure, protocol : unclear
support, allow : technique
asthma, assay : respiratory
way, population : approximately
population, bite : outbreak
common, serve : bring
common, coil : environmental
refer, disease : obstructive
kill, vaccination : number
cause, normally : death
people, rough : improvement
worsen, include : allergen
type, strand : lymphocyte
symptom, fatal : human
new, invasive : host
person, analysis : contact
lead, cause : increase
cross, fever : red
disease, green : recommend
reasonable, report : currently
smooth, possible : examine
pollution, wholly : smoke
viral, rabies : infection
world, include : control
muscle, intensive : paralysis
medication, endosome : combination
prevalence, involve : consider
role, normally : stress
agent, state : factor
develop, year : people
alcohol, nerve : group
limit, main : chemical
asthma, death : rate
component, dog : control
risk, call : associate
mouth, symptom : cough
make, devastate : recovery
category, single : specific
swimmer, use : cold
asthma, antibody : respiratory
perfume, early : mold
agent, disease : age
said, bite : chang
increase, take : hospital
factor, stage : activation
way, disease : different
narrow, interact : substance
people, travel : age
die, symptom : hospitalization
risk, disease : asthma
generally, protein : class
therapeutic, rabies : north
mold, spend : cat
hairdresser, death : food
category, goal : specific
white, soap : minute
hard, united : persistent
cure, people : review
reversible, dog : water
support, rabies : use
condition, replicate : obstructive
useful, immune : course
canister, bite : class
limit, dry : provide
allergen, human : symptom
therapy, reduce : age
persistent, known : frequently
cough, period : episode
cigarette, nearly : formulation
year, swallow : systematic
peak, need : exacerbation
category, compromise : vitamin
poor, dog : august
decline, rabies : observe
capacity, further : bronchodilator
decrease, strict : program
significantly, handle : primarily
measure, travel : else
better, time : good
equally, paralysis : excessive
increase, mouth : hospital
symptom, rural : cough
abnormally, small : cover
severe, narrow : pressure
person, known : people
experience, die : agitation
medication, modern : similar
complication, mortality : eastern
death, pasteur : human
dietary, routine : sensitive
article, antibody : life
person, administer : pep
day, record : rash
significantly, virus : transmit
south, question : therapeutic
condition, world : high
alternative, terror : formulation
economics, case : higher
illness, state : old
adult, compromise : pregnant
found, helical : gene
treatment, human : rabies
cause, site : fever
risk, new : state
ad, coast : limit
help, case : bite
asthma, person : symptom
shortness, death : cough
individual, gland : attribute
state, target : personal
wall, rabies : unresponsive
present, travel : nerve
age, use : therapy
monitor, infection : pollution
young, respiratory : effort
meter, mentally : formulation
positive, virus : strand
alter, routine : necessary
known, human : infect
childhood, due : age
air, book : limit
level, paralytic : mark
low, number : herd
source, brain : reliable
drug, membrane : formulation
treatment, dog : number
peak, microscopy : method
narrow, prevention : stagnant
known, require : systematic
exposure, attenuate : potential
early, dose : tightness
combination, animal : provide
useful, human : period
support, rabies : use
moderate, attenuate : probably
life, distribute : oral
early, show : childhood
canada, bite : bait
daily, country : frequent
responsiveness, significant : affluent
moderate, alone : daily
recommend, guinea : effective
severe, year : people
clinical, infection : respiratory
rate, environment : recent
increase, history : age
negative, symptomatic : map
use, trace : intravenous
environmental, consider : combination
rate, alliance : expiratory
develop, human : infect
recovery, person : shortness
immune, human : infect
contrast, blood : obstruct
involve, identification : examine
trigger, transport : response
type, rapidly : volume
common, collaboration : dust
differentiate, wild : act
evidence, found : review
rate, application : age
increase, infect : infection
level, modify : behavior
rate, guinea : eastern
inflammation, dramatic : consciousness
attack, host : exceptionally
usually, rule : beta
asthma, tissue : lead
decrease, dog : number
loss, think : effectiveness
remove, wound : pet
sudden, form : disorder
beneficial, affect : passive
beneficial, somewhere : observe
trigger, artery : peak
show, medical : measure
part, see : poor
symptom, compression : air
appear, intravenous : steroid
evidence, intervention : indication
minute, consequence : complete
useful, citation : steroid
higher, infertility : slow
example, compression : tumor
general, thrombotic : class
morn, injury : episode
